Model,Memory used (bytes),Predictor size (bytes),Learner size (bytes),Models size (bytes),Total deployment size (bytes)
NN_TORCH_12,106594,537,6652,162304,169493
NN_TORCH_13,101306,538,6652,225227,232417
NN_TORCH_14,102601,538,6664,336786,343988
NN_TORCH_15,99780,539,6652,18099,25290
NN_TORCH_16,105028,538,6652,195073,202263
NN_TORCH_17,102130,539,6664,22023,29226
NN_TORCH_18,101949,538,6652,203685,210875
NN_TORCH_19,100026,539,6652,231587,238778
NN_TORCH_20,99396,538,6664,55198,62400
NN_TORCH_21,98400,538,6652,19122,26312
NN_TORCH_22,99944,539,6664,26704,33907
NN_TORCH_23,99263,539,6652,17578,24769
NN_TORCH_24,99303,539,6664,24339,31542
NN_TORCH_25,99669,538,6652,575339,582529
NN_TORCH_26,100086,538,6652,21687,28877
NN_TORCH_27,104771,538,6664,381656,388858
NN_TORCH_28,99141,538,6652,173701,180891
NN_TORCH_29,101021,538,6652,84271,91461
NN_TORCH_30,104224,539,6664,89576,96779
NN_TORCH_31,100498,538,6652,495595,502785
NN_TORCH_32,107407,539,6652,1003515,1010706
NN_TORCH_33,104024,538,6652,452147,459337
NN_TORCH_34,99944,538,6652,101176,108366
NN_TORCH_35,98822,539,6664,17606,24809
NN_TORCH_36,100564,539,6652,28968,36159
NN_TORCH_37,102584,539,6664,56378,63581
NN_TORCH_38,103540,539,6652,89483,96674
NN_TORCH_39,101658,538,6664,35954,43156
NN_TORCH_40,102296,538,6652,126659,133849
NN_TORCH_41,101029,538,6652,225577,232767
NN_TORCH_42,99837,538,6652,158181,165371
NN_TORCH_43,99741,538,6664,25855,33057
NN_TORCH_44,103881,539,6664,39988,47191
NN_TORCH_45,101206,538,6652,759215,766405
NN_TORCH_46,101334,538,6664,23176,30378
NN_TORCH_47,99550,538,6652,27376,34566
NN_TORCH_48,98811,538,6652,21983,29173
NN_TORCH_49,100105,538,6664,271909,279111
NN_TORCH_50,104305,538,6664,485037,492239
NN_TORCH_51,100697,539,6652,19635,26826
NN_TORCH_52,100097,539,6652,115812,123003
NN_TORCH_53,99271,538,6664,23228,30430
NN_TORCH_54,100396,540,6652,29810,37002
NN_TORCH_55,100017,538,6652,25051,32241
NN_TORCH_56,101466,539,6664,267317,274520
NN_TORCH_57,99321,538,6664,36071,43273
NN_TORCH_58,98318,538,6652,24427,31617
NN_TORCH_59,102458,538,6664,314606,321808
NN_TORCH_60,103159,539,6652,771860,779051
NN_TORCH_61,103300,539,6652,507064,514255
NN_TORCH_62,102622,538,6664,902666,909868
NN_TORCH_63,104122,538,6652,39972,47162
NN_TORCH_64,100571,539,6652,646150,653341
NN_TORCH_65,98694,538,6664,24399,31601
NN_TORCH_66,108807,538,6664,257285,264487
NN_TORCH_67,107635,539,6652,195690,202881
NN_TORCH_68,101068,539,6652,55691,62882
NN_TORCH_69,99444,538,6652,94275,101465
NN_TORCH_70,101887,539,6664,37207,44410
NN_TORCH_71,103504,538,6652,196820,204010
NN_TORCH_72,101645,538,6664,540533,547735
NN_TORCH_73,105370,538,6652,25366,32556
NN_TORCH_74,101184,539,6664,24755,31958
NN_TORCH_75,98929,538,6652,17049,24239
NN_TORCH_76,98226,539,6664,63394,70597
NN_TORCH_77,99411,538,6652,475754,482944
NN_TORCH_78,99898,538,6664,29052,36254
NN_TORCH_79,100320,539,6652,26472,33663
NN_TORCH_80,100155,538,6664,759239,766441
